Year,Actual,August WASDE,August GAM Forecast,September WASDE,September GAM Forecast,October WASDE,October GAM Forecast
2019,168,169.5,182.5,167,180.2876,168.4,180.4297
2018,176.4,178.4,167.7,178.9,175.4643,180.7,174.0329
2017,176.6,169.5,168,175.4,171.9651,171.8,172.6425
2016,174.6,175.1,166.2,175.3,160.9981,173.4,162.168
2015,168.4,168.8,169.1,169.3,164.943,168,165.4042
2014,171,167.4,165.1,173.4,165.4266,174.2,167.467
2013,158.1,154.4,148.4,160.4,147.478,,
2012,123.1,123.4,127.4,122.3,127.9655,122,128.5282
2011,146.8,153,126.8,146.7,140.9486,148.1,140.0908
2010,152.6,165,151.9,154.3,137.0584,155.8,129.8903
2009,164.4,159.5,156.5,162.9,159.8226,164.2,159.3929
2008,153.3,,,,,,
2007,150.7,,,,,,
2006,149.1,,,,,,
2005,147.9,,,,,,
2004,160.3,,,,,,
2003,142.2,,,,,,
2002,129.3,,,,,,
2001,138.2,,,,,,
2000,136.9,,,,,,
1999,133.8,,,,,,
1998,134.4,,,,,,
1997,126.7,,,,,,
1996,127.1,,,,,,
1995,113.5,,,,,,
1994,138.6,,,,,,
1993,100.7,,,,,,
1992,131.5,,,,,,
1991,108.6,,,,,,
1990,118.5,,,,,,
1989,116.3,,,,,,
1988,84.6,,,,,,
1987,119.8,,,,,,
1986,119.4,,,,,,
1985,118,,,,,,
1984,106.7,,,,,,
1983,81.1,,,,,,
1982,113.2,,,,,,